"date","new_cases_per_100k","group"
20-08-28,65.8102879974615,"Incarcerated"
20-08-29,66.7725639631876,"Incarcerated"
20-08-30,66.9837952727372,"Incarcerated"
20-08-31,51.9394320037027,"Incarcerated"
20-04-29,43.5372303884331,"Prison Staff"
20-04-30,37.307737964015,"Prison Staff"
20-05-01,39.1765856913404,"Prison Staff"
20-05-02,26.5791676775172,"Prison Staff"
20-05-03,30.8705957921163,"Prison Staff"
20-05-04,33.0855264319094,"Prison Staff"
20-05-05,54.5080587136583,"Prison Staff"
20-05-06,38.3113784101712,"Prison Staff"
20-05-07,45.5099029894988,"Prison Staff"
20-05-08,44.6100874170829,"Prison Staff"
20-05-09,44.6100874170829,"Prison Staff"
20-05-10,37.9652954977036,"Prison Staff"
20-05-11,28.69027344357,"Prison Staff"
20-05-12,9.65571325784803,"Prison Staff"
20-05-13,24.5372784939579,"Prison Staff"
20-05-14,15.7121642260323,"Prison Staff"
20-05-15,14.3624408674084,"Prison Staff"
20-05-16,15.0199984010969,"Prison Staff"
20-05-17,14.9853901098502,"Prison Staff"
20-05-18,25.2294443188933,"Prison Staff"
20-05-19,21.3533156992553,"Prison Staff"
20-05-20,20.0035923406314,"Prison Staff"
20-05-21,20.1420255056185,"Prison Staff"
20-05-22,19.5190762631767,"Prison Staff"
20-05-23,18.8961270207349,"Prison Staff"
20-05-24,17.5464036621109,"Prison Staff"
20-05-25,13.7048833337198,"Prison Staff"
20-05-26,16.9926710021627,"Prison Staff"
20-05-27,19.2422099332025,"Prison Staff"
20-05-28,21.8724400679568,"Prison Staff"
20-05-29,21.5263571554892,"Prison Staff"
20-05-30,21.6301820292295,"Prison Staff"
20-05-31,23.1183385528405,"Prison Staff"
20-06-01,25.6101355226077,"Prison Staff"
20-06-02,26.2676930562963,"Prison Staff"
20-06-03,22.0800898154374,"Prison Staff"
20-06-04,18.4116109432801,"Prison Staff"
20-06-05,19.2768182244493,"Prison Staff"
20-06-06,19.6921177194105,"Prison Staff"
20-06-07,20.5919332918265,"Prison Staff"
20-06-08,17.3733622058771,"Prison Staff"
20-06-09,14.7777403623696,"Prison Staff"
20-06-10,15.9544222647597,"Prison Staff"
20-06-11,15.9198139735129,"Prison Staff"
20-06-12,14.6046989061357,"Prison Staff"
20-06-13,10.6939619952511,"Prison Staff"
20-06-14,6.40253388065192,"Prison Staff"
20-06-15,16.4735466334612,"Prison Staff"
20-06-16,13.7740999162133,"Prison Staff"
20-06-17,13.1165423825248,"Prison Staff"
20-06-18,13.1511506737715,"Prison Staff"
20-06-19,12.9435009262909,"Prison Staff"
20-06-20,17.6156202446045,"Prison Staff"
20-06-21,21.8724400679568,"Prison Staff"
20-06-22,12.9781092175377,"Prison Staff"
20-06-23,14.5354823236422,"Prison Staff"
20-06-24,15.2968647310711,"Prison Staff"
20-06-25,15.9544222647597,"Prison Staff"
20-06-26,16.7504129634353,"Prison Staff"
20-06-27,23.8797209602693,"Prison Staff"
20-06-28,22.8760805141131,"Prison Staff"
20-06-29,24.6064950764514,"Prison Staff"
20-06-30,29.4170475597521,"Prison Staff"
20-07-01,31.5627616170516,"Prison Staff"
20-07-02,36.5463555565861,"Prison Staff"
20-07-03,37.0308716340409,"Prison Staff"
20-07-04,28.5864485698297,"Prison Staff"
20-07-05,33.0509181406626,"Prison Staff"
20-07-06,34.2622083342995,"Prison Staff"
20-07-07,36.5463555565861,"Prison Staff"
20-07-08,41.2876914573932,"Prison Staff"
20-07-09,43.5372303884331,"Prison Staff"
20-07-10,47.7594419205387,"Prison Staff"
20-07-11,49.1091652791626,"Prison Staff"
20-07-12,45.5099029894988,"Prison Staff"
20-07-13,50.7703632590074,"Prison Staff"
20-07-14,49.0745569879158,"Prison Staff"
20-07-15,44.1601796308749,"Prison Staff"
20-07-16,45.0253869120441,"Prison Staff"
20-07-17,44.0563547571346,"Prison Staff"
20-07-18,50.52810522028,"Prison Staff"
20-07-19,47.9670916680193,"Prison Staff"
20-07-20,43.5026220971863,"Prison Staff"
20-07-21,41.8414241173415,"Prison Staff"
20-07-22,63.9907305152725,"Prison Staff"
20-07-23,60.6337262643361,"Prison Staff"
20-07-24,66.136444572572,"Prison Staff"
20-07-25,60.4606848081022,"Prison Staff"
20-07-26,63.8869056415322,"Prison Staff"
20-07-27,65.3058455826496,"Prison Staff"
20-07-28,70.1163980659503,"Prison Staff"
20-07-29,51.6355705401766,"Prison Staff"
20-07-30,58.7994868282574,"Prison Staff"
20-07-31,55.3386577035807,"Prison Staff"
20-08-01,55.4770908685677,"Prison Staff"
20-08-02,56.4115147322305,"Prison Staff"
20-08-03,58.0727127120753,"Prison Staff"
20-08-04,57.4151551783867,"Prison Staff"
20-08-05,53.9889343449568,"Prison Staff"
20-08-06,50.8049715502542,"Prison Staff"
20-08-07,50.3204554727994,"Prison Staff"
20-08-08,40.6993505061982,"Prison Staff"
20-08-09,41.1146500011594,"Prison Staff"
20-08-10,49.939764269085,"Prison Staff"
20-08-11,46.5827600181486,"Prison Staff"
20-08-12,49.0745569879158,"Prison Staff"
20-08-13,52.1893032001249,"Prison Staff"
20-08-14,50.4934969290333,"Prison Staff"
20-08-15,56.9998556834255,"Prison Staff"
20-08-16,58.6264453720236,"Prison Staff"
20-08-17,57.1728971396593,"Prison Staff"
20-08-18,59.8031272744136,"Prison Staff"
20-08-19,57.4497634696335,"Prison Staff"
20-08-20,52.6392109863328,"Prison Staff"
20-08-21,53.9889343449568,"Prison Staff"
20-08-22,54.2658006749309,"Prison Staff"
20-08-23,49.7667228128512,"Prison Staff"
20-08-24,42.810456272251,"Prison Staff"
20-08-25,47.863266794279,"Prison Staff"
20-08-26,47.5864004643048,"Prison Staff"
20-08-27,43.7448801359137,"Prison Staff"
20-08-28,40.7339587974449,"Prison Staff"
20-08-29,40.4917007587176,"Prison Staff"
20-08-30,42.2567236123027,"Prison Staff"
20-08-31,42.2913319035495,"Prison Staff"
20-04-29,8.96832019481439,"General Population"
20-04-30,8.81951770845794,"General Population"
20-05-01,8.69891762372739,"General Population"
20-05-02,8.48417896690295,"General Population"
20-05-03,8.4582832431878,"General Population"
20-05-04,8.4045332956446,"General Population"
20-05-05,8.36353535994767,"General Population"
20-05-06,8.27427127702369,"General Population"
20-05-07,8.1924930167535,"General Population"
20-05-08,7.91734551200196,"General Population"
20-05-09,7.7168821448894,"General Population"
20-05-10,7.4634522302788,"General Population"
20-05-11,7.27452225272005,"General Population"
20-05-12,7.21319943807359,"General Population"
20-05-13,7.06700828520101,"General Population"
20-05-14,7.00098507028357,"General Population"
20-05-15,6.93957521118765,"General Population"
20-05-16,6.88691331926272,"General Population"
20-05-17,6.83016033821305,"General Population"
20-05-18,7.01308424875888,"General Population"
20-05-19,6.95515616764147,"General Population"
20-05-20,7.03876236135037,"General Population"
20-05-21,6.98527354715555,"General Population"
20-05-22,6.87899227436162,"General Population"
20-05-23,6.81853990420979,"General Population"
20-05-24,6.86284552898629,"General Population"
20-05-25,6.74429098881812,"General Population"
20-05-26,6.65393885027585,"General Population"
20-05-27,6.46574875053753,"General Population"
20-05-28,6.32552014245315,"General Population"
20-05-29,6.35829237767585,"General Population"
20-05-30,6.4073854471728,"General Population"
20-05-31,6.4336293486858,"General Population"
20-06-01,6.55531748903463,"General Population"
20-06-02,6.63770506045106,"General Population"
20-06-03,6.69184670801685,"General Population"
20-06-04,6.6528943168823,"General Population"
20-06-05,6.83390324953995,"General Population"
20-06-06,6.79529903620325,"General Population"
20-06-07,6.70742766447067,"General Population"
20-06-08,6.54678713298729,"General Population"
20-06-09,6.4605696057945,"General Population"
20-06-10,6.58521725742506,"General Population"
20-06-11,6.65424350584897,"General Population"
20-06-12,6.51431955333771,"General Population"
20-06-13,6.63722631597902,"General Population"
20-06-14,6.65964026171566,"General Population"
20-06-15,6.74285475540198,"General Population"
20-06-16,7.00738283731908,"General Population"
20-06-17,7.12937563324103,"General Population"
20-06-18,7.34080660098588,"General Population"
20-06-19,7.57334584772544,"General Population"
20-06-20,7.86455305340284,"General Population"
20-06-21,8.18004566048034,"General Population"
20-06-22,8.63041364200026,"General Population"
20-06-23,9.07329580086639,"General Population"
20-06-24,9.56627204039829,"General Population"
20-06-25,10.1370224955251,"General Population"
20-06-26,10.7764945435027,"General Population"
20-06-27,11.2236418803925,"General Population"
20-06-28,11.7949581244408,"General Population"
20-06-29,12.1879202915401,"General Population"
20-06-30,12.76789745831,"General Population"
20-07-01,13.3334687686937,"General Population"
20-07-02,13.9594924492293,"General Population"
20-07-03,14.4654383117312,"General Population"
20-07-04,14.8008205755109,"General Population"
20-07-05,15.0296169109236,"General Population"
20-07-06,15.3700042305474,"General Population"
20-07-07,15.6175586448193,"General Population"
20-07-08,16.0300187685982,"General Population"
20-07-09,16.2184264794602,"General Population"
20-07-10,16.7002610294608,"General Population"
20-07-11,17.1664275785582,"General Population"
20-07-12,17.7340444335044,"General Population"
20-07-13,18.3543231803755,"General Population"
20-07-14,18.8558732981794,"General Population"
20-07-15,19.2425247426927,"General Population"
20-07-16,19.9300018045489,"General Population"
20-07-17,20.0474247668741,"General Population"
20-07-18,20.1228052601088,"General Population"
20-07-19,20.3173496046579,"General Population"
20-07-20,20.244275789334,"General Population"
20-07-21,20.2298699329479,"General Population"
20-07-22,20.2908445697965,"General Population"
20-07-23,20.0437253777719,"General Population"
20-07-24,20.1569702065229,"General Population"
20-07-25,20.3453343951601,"General Population"
20-07-26,19.994632308275,"General Population"
20-07-27,19.9638620953899,"General Population"
20-07-28,19.8700281788692,"General Population"
20-07-29,19.7341517932579,"General Population"
20-07-30,19.6952864465728,"General Population"
20-07-31,19.5009597131474,"General Population"
20-08-01,19.0676959659469,"General Population"
20-08-02,18.9186758684668,"General Population"
